Nat;Category;Sail;Helm;Crew;Bow
PER;MIXED;31083;Ismael Muelle;Maria Gracia Vegas Trivelli;01
ARG;SENIOR;29887;Martin Alonso;Lucas Garcia;02
ARG;MIXED;31288;Ramiro Genevois;Azul Maciel Francisconi;03
ARG;MASTER, MIXED, SENIOR;31710;Triggiano Alejandro ;Safar Exeni Mariana ;04
ARG;MIXED;31331;Francisco Fonseca ;Maité Irigoitia;05
USA;MASTER, MIXED, SENIOR;30288;Augie Diaz;Mariela Salerno;06
URU;MIXED;31839;Ricky Fabini ;Popi Fabini;07
ARG;MASTER;31205;Antonio Villanueva;Paul Feldstein;08
URU;JUNIOR, MIXED;31546;Simon Fabini;Martina Baez;09
CHI;MIXED;31791;Matías Poncell;Trinidad Prieto;11
BRA;SENIOR;29820;Felipe S. De Linhares;Joaquim Krauspenhar;10
ARG;MASTER;31752;Augusto Amato;Constanza Alvarez;12
ARG;SENIOR;31753;Luciano Pesci;Florencia Galimberti ;13
ARG;MASTER, MIXED;30635;Gabriel Schebor;Shakira Di Marzo;14
BRA;MIXED;31762;Adriano Santos;Marina Kist;15
ARG;SENIOR;31474;Squarcia Bernardo;Ayestaran Emiliano;16
ARG;MASTER, MIXED;31701;María Paula Molinari;Ruben Marrero;17
BRA;MASTER;31760;Christian Franzen ;Jackson Kravuspenhar;18
BRA;MIXED;31352;Manuella Emerim Moreira;Ian Franzen;19
BRA;MIXED;29821;Adrion José Burgos Santos ;Eduarda Laitano Khun;20
ARG;MASTER, MIXED;29891;Javier Moyano;Adriana Quiroga;21
ARG;MASTER;31421;Andres Marcone;Lucas Luzzi;22
BRA;MIXED;31277;Alexandre Paradeda ;Alex Kuhl;23
BRA;SENIOR;32068;Jackson Krauspenhar ;Max;24
BRA;SENIOR;31343;Rafael Gagliotti ;Pedro Siqueira ;25
BRA;SENIOR;30797;Iago Whately;Matheus Souza;26
BRA;MIXED;30932;Henrique Silva Dias;Marília Pinto Gomes Bassôa;27
CHI;MASTER;31785;Almarza Ignacio;Jose Arigos ;28
ARG;MIXED;31792;Julio Alsogaray;Malena Sciarra;29
ARG;MASTER;31840;Nicolas Garcia;Diego Lipszyc;30
ARG;JUNIOR;31938;Juan Garcia;Fausto Russo;31
BRA;MASTER;31759;Anderson Candemil;Silvia Yumi Nakamura;32
BRA;MIXED;31980;Eric Lineburger ;Giovana De Simas;33
ARG;SENIOR;32063;Santino Marcatelli ;Joaquin Lamberti ;44
ARG;MASTER;32090;Leandro Pellini;Guillermo Pellini;35
BRA;JUNIOR;30856;Stefano Siebert Francavilla ;Antonio Pacola Minns;36
ARG;SENIOR;28699;Nico Yaya;Franco Toccalino;37
ARG;SENIOR;29731;Roque Bevilacqua;Juan Ignacio Sorocinschi;39
CHI;MIXED, SENIOR;31864;Matías Seguel;María Jesus Seguel;40
BRA;WOMEN;31534;Paola Prada;Lorena Paludi;41
ARG;MASTER;29886;Andrés Schapira;Nicolás Gorelik;42
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
